publicationId,title,year,authors,sourceOrVenue,publicationType,doi,url,facultyRelationships,researchThemes,geomaticsApproaches,visibility,bibliographicStatus,sourceProvenance,internalNotes,sourceRows,sourceReviewStatuses
post-disaster-assessment-of-mangrove-forest-recovery-in-lawaan-balangiga-easte-38df9077,"Post-disaster assessment of mangrove forest recovery in lawaan-balangiga, eastern samar using ndvi time series analysis",2021,"KE Cabello, MQ Germentil, AC Blanco, EG Macatulad, SG Salmo III","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,32,READY - supported title and year
preliminary-investigation-on-chlorophyll-a-and-total-suspended-matter-concentr-69fd04d6,Preliminary investigation on chlorophyll-a and total suspended matter concentration in manila bay using Himawari-8 ahi and Sentinel-3 olci C2RCC,2021,"RB Torres, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,73,READY - supported title and year
present-day-vertical-land-movement-in-san-fernando-la-union-and-currimao-iloco-6480b168,"Present-day vertical land movement in San Fernando (La Union) and Currimao (Ilocos Norte), northwest Luzon, Philippines",2021,"P Caesar Flores, A Rediang, N Alen Pasaje, RM Alfante, MDA Bauzon, ...","EGU General Assembly Conference Abstracts, EGU21-12815",other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,182,READY - supported title and year
project-sinag-solar-pv-resource-and-installation-assessment-using-geospatial-t-b9ff713f,Project SINAG: Solar PV Resource and Installation Assessment Using Geospatial Technologies,2021,"J Principe, A Blanco, MRC Ang",宇宙からの地球環境・災害のモニタリングとリスク評価: 生研フォーラム論文集= Monitoring of …,other,,,ariel-c-blanco,urban-sustainable-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,184,READY - supported title and year
scaling-relations-and-substrate-conditions-controlling-the-complexity-of-rhizo-1e85f5b0,Scaling relations and substrate conditions controlling the complexity of Rhizophora prop root system,2021,"M Yoshikai, T Nakamura, R Suwa, R Argamosa, T Okamoto, R Rollon, ...","Estuarine, Coastal and Shelf Science 248, 107014",other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,29,READY - supported title and year
semi-automated-delineation-of-informal-settlement-structures-from-drone-rgb-im-811906ac,Semi-Automated Delineation of Informal Settlement Structures from Drone RGB Imagery Using Object-Based Image Analysis,2021,"RAB Rivera, ENB Idago, AC Blanco, KAP Vergara","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,151,READY - supported title and year
spatio-temporal-mapping-and-analysis-of-mangrove-extents-around-manila-bay-usi-864d7d85,Spatio-temporal mapping and analysis of mangrove extents around Manila Bay using Landsat satellite imagery and Mangrove Vegetation Index (MVI),2021,"M Conopio, AB Baloloy, J Medina, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"55,321",READY - supported title and year
supplementing-satellite-imagery-with-social-media-data-for-remote-reconnaissan-eed7ecf6,Supplementing satellite imagery with social media data for remote reconnaissance: A case study of the 2020 Taal volcano eruption,2021,"ALF Yute, EJG Merin, CJS Sarmiento, EE Elazagui","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,erica-erin-e-elazegui,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,302,READY - supported title and year
the-retrieval-of-chlorophyll-a-concentrations-in-inland-water-using-convolutio-31e9a031,THE RETRIEVAL OF CHLOROPHYLL-A CONCENTRATIONS IN INLAND WATER USING CONVOLUTION NEURAL NETWORK ON SATELLITE IMAGERY,2021,"M Van Nguyen, CH Lin, AC Blanco","42nd Asian Conference on Remote Sensing, ACRS 2021",other,,,ariel-c-blanco,water-air-environmental-quality,earth-observation-remote-sensing|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,183,READY - supported title and year
time-series-analysis-for-monitoring-seagrass-habitat-and-environment-in-busuan-01d160bb,"Time series analysis for monitoring seagrass habitat and environment in busuanga, Philippines using google earth engine",2021,A Quirós,"The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xliii-b3-2021-109-2021,https://doi.org/10.5194/isprs-archives-xliii-b3-2021-109-2021,ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,250,READY - supported title and year
utilization-of-sentinel-2-imagery-in-the-estimation-of-plastics-among-floating-66eba9a8,Utilization of Sentinel-2 imagery in the estimation of plastics among floating debris along the coast of Manila Bay,2021,"MLR Gonzaga, MTS Wong, AC Blanco, JA Principe","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,44,READY - supported title and year
creating-value-from-philippine-space-activities-mobilizing-space-data-2022-7ba2537b,Creating Value from Philippine Space Activities: Mobilizing Space Data,2022,"AC Blanco, JS Marciano, GJ Perez, S Meneses, RK Aranas, S Muta, ...",IGARSS 2022-2022 IEEE International Geoscience and Remote Sensing Symposium …,other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,180,READY - supported title and year
evaluating-mitigation-strategies-for-urban-heat-island-in-mandaue-city-using-e-8296f63a,Evaluating mitigation strategies for urban heat island in Mandaue City using ENVI-met,2022,"A Cortes, AJ Rejuso, JA Santos, A Blanco","Journal of Urban Management 11 (1), 97-106",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,5,READY - supported title and year
field-measurement-and-prediction-of-drag-in-a-planted-rhizophora-mangrove-fore-db3119d9,Field Measurement and Prediction of Drag in a Planted Rhizophora Mangrove Forest,2022,"M Yoshikai, T Nakamura, DM Bautista, EC Herrera, A Baloloy, R Suwa, ...","Journal of Geophysical Research: Oceans 127 (11), e2021JC018320",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,24,READY - supported title and year
ground-deformation-analysis-caused-by-post-2013-earthquake-in-bohol-philippine-0753c3a3,"Ground deformation analysis caused by post-2013 earthquake in Bohol, Philippines: MDAI Bauzon et al.",2022,"MDAI Bauzon, RB Reyes, AC Blanco, FP Siringan","Spatial Information Research 30 (6), 791-807",other,,,ariel-c-blanco,climate-hazards-resilience,,internal,source-supported,Supplied Google Scholar profile copy,,146,READY - supported title and year
integrated-gis-and-air-dispersion-modeling-approach-for-roadside-pollutant-map-d6504326,"Integrated GIS and air dispersion modeling approach for roadside pollutant mapping: a case study in Baguio City, Philippines",2022,"RV Ramos, AC Blanco","Spatial Information Research 30 (3), 371-383",other,,,ariel-c-blanco,urban-sustainable-systems|water-air-environmental-quality,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,106,READY - supported title and year
integrated-remote-sensing-and-coupled-watershed-ocean-vegetation-modeling-for-b733d392,"Integrated Remote Sensing and Coupled Watershed-Ocean-Vegetation Modeling for Seagrass Studies in Busuanga, Palawan, Philippines",2022,"AM TAMONDONG, A Tamondong",(No Title),other,,,ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,290,READY - supported title and year
lake-water-level-variability-determination-from-sar-backscatter-of-discrete-ob-a072e5a4,"Lake water level variability determination from SAR backscatter of discrete objects, GNSS levelling and satellite altimetry",2022,"R Reyes, M Nagai, A Blanco","Survey Review 54 (383), 153-162",other,,,ariel-c-blanco,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,95,READY - supported title and year
landfill-site-suitability-mapping-using-fuzzy-multi-criteria-decision-analysis-1079264e,"Landfill Site Suitability Mapping Using Fuzzy Multi-Criteria Decision Analysis and GIS: Case of Quezon City, Philippines",2022,"N Sadie, MA Tanchuling, A Blanco",Philippine Engineering Journal 43 (1),other,,,ariel-c-blanco,urban-sustainable-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,147,READY - supported title and year
mapping-oil-spills-on-sea-surface-from-sentinel-2-images-using-principal-compo-bf9d7223,Mapping Oil Spills on Sea Surface from Sentinel 2 Images Using Principal Components and Categorical Boosting,2022,"RJL Argamosa, AC Blanco, RB Reyes","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,149,READY - supported title and year
modelling-the-chlorophyll-a-concentration-of-laguna-lake-using-himawari-8-sate-7a804e1b,Modelling the chlorophyll-a concentration of Laguna Lake using himawari-8 satellite imagery and machine learning algorithms for near real time monitoring,2022,"ERG Martinez, RJL Argamosa, RB Torres, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,earth-observation-remote-sensing|environmental-spatial-modeling|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,81,READY - supported title and year
optimization-of-tree-positioning-to-maximize-walking-in-urban-outdoor-spaces-a-b349c114,Optimization of tree positioning to maximize walking in urban outdoor spaces: A modeling and simulation framework,2022,"I Estacio, R Hadfi, A Blanco, T Ito, J Babaan","Sustainable Cities and Society 86, 104105",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change|urban-sustainable-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,19,READY - supported title and year
quantifying-vertical-land-motion-at-tide-gauge-sites-using-permanent-scatterer-c80d8b14,Quantifying vertical land motion at tide gauge sites using permanent scatterer interferometric synthetic aperture radar and global navigation satellite system solutions,2022,"R Reyes, MDA Bauzon, NA Pasaje, RM Alfante, PM De Lara, M Ordillano, ...","Spatial Information Research 30 (2), 309-319",other,,,ariel-c-blanco,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,94,READY - supported title and year
rapid-mapping-and-assessment-of-damages-due-to-typhoon-rai-using-sentinel-1-sy-72bfdb64,Rapid Mapping and Assessment of Damages Due to Typhoon Rai Using Sentinel-1 Synthetic Aperture Radar Data,2022,"SF Meneses III, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,93,READY - supported title and year
seagrass-biomass-and-sediment-carbon-in-conserved-and-disturbed-seascape-2022-e6b8ca73,Seagrass biomass and sediment carbon in conserved and disturbed seascape,2022,"AGB Reyes, MCS Vergara, AC Blanco, SG Salmo III","Ecological Research 37 (1), 67-79",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,36,READY - supported title and year
simulation-of-urban-heat-island-during-a-high-heat-event-using-wrf-urban-canop-c350be55,Simulation of urban heat island during a high-heat event using WRF urban canopy models: A case study for Metro Manila,2022,"RGJP Bilang, AC Blanco, JAS Santos, LMP Olaguera","Atmosphere 13 (10), 1658",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,26,READY - supported title and year
typhoon-damage-mapping-using-normalized-differenced-spatial-autocorrelation-an-8337c251,Typhoon damage mapping using normalized differenced spatial autocorrelation and Planetscope image,2022,AC Blanco,"The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,148,READY - supported title and year
a-comparative-analysis-of-machine-learning-and-index-based-approach-to-mangrov-0a4d8031,A COMPARATIVE ANALYSIS OF MACHINE LEARNING AND INDEX-BASED APPROACH TO MANGROVE EXTENT MAPPING,2023,"KM Bantay, DCDM Vergara, KP Martinez, RM de la Cruz, GJP Perez, ...",,other,,,ariel-c-blanco,coastal-marine-systems,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,221,READY - supported title and year
analysis-of-kriging-interpolation-models-for-particulate-matter-levels-in-the-31b70430,"ANALYSIS OF KRIGING INTERPOLATION MODELS FOR PARTICULATE MATTER LEVELS IN THE NATIONAL CAPITAL REGION, PHILIPPINES",2023,"RA Torres, R Ramos, BA Recto, A Tamondong",,other,,,ayin-m-tamondong,water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,298,READY - supported title and year
assessing-and-modelling-urban-heat-island-in-baguio-city-using-landsat-imagery-c70c16eb,Assessing and modelling urban heat Island in Baguio City using Landsat imagery and machine learning,2023,"D Vergara, AC Blanco, JJS Marciano Jr, SF Meneses Iii, NJB Borlongan, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing|environmental-spatial-modeling|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,41,READY - supported title and year
assessment-of-mangrove-extent-extraction-accuracy-of-threshold-segmentation-ba-8818f617,Assessment of mangrove extent extraction accuracy of threshold segmentation-based indices using sentinel imagery,2023,"CDC Zablan, AC Blanco, K Nadaoka, KP Martinez, AB Baloloy","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,43,READY - supported title and year
detailed-mapping-of-residential-land-use-in-quezon-city-using-sentinel-2-image-750eea2e,Detailed Mapping of Residential Land Use in Quezon City Using SENTINEL-2 Imagery: AN Analysis of Pixel-Based Image Classification Using Support Vector Machine,2023,"MID Mabalot, LS Sumera, AC Blanco, BG Carcellar","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,ecosystems-biodiversity-land-change|urban-sustainable-systems,earth-observation-remote-sensing|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,177,READY - supported title and year
development-of-google-earth-engine-application-for-spatiotemporal-analysis-of-ba3606a4,"Development of Google Earth engine application for Spatiotemporal analysis of turbidity in Batan Estuary, Aklan through the harmonization of Landsat and SENTINEL-2 imagery",2023,"CDC Zablan, AC Blanco, YH Primavera-Tirol, K Nadaoka","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,earth-observation-remote-sensing|geovisualization-decision-support|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,80,READY - supported title and year
estimating-airborne-particulate-matter-in-the-national-capital-region-philippi-b59cf181,"ESTIMATING AIRBORNE PARTICULATE MATTER IN THE NATIONAL CAPITAL REGION, PHILIPPINES USING MULTIPLE LINEAR REGRESSION AND GRADIENT BOOSTING ALGORITHM ON MODIS MAIAC AEROSOL OPTICAL DEPTH",2023,"RAB Torres, RV Ramos, BAB Recto, AM Tamondong, BJD Jiao, ...","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-X-4-W1-2022-639-2023,https://doi.org/10.5194/isprs-annals-X-4-W1-2022-639-2023,ayin-m-tamondong,water-air-environmental-quality,earth-observation-remote-sensing|geoai-spatial-data-science,internal,verified,Supplied Google Scholar profile copy,,267,READY - supported title and year
estimation-of-mangrove-fractional-cover-from-multispectral-and-hyperspectral-d-08abbe2b,Estimation Of Mangrove Fractional Cover From Multispectral And Hyperspectral Data Using Mixture Tuned Matched Filtering,2023,"AC Blanco, CR Perez","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,122,READY - supported title and year
hotspot-analysis-and-comparison-between-satellite-derived-aerosol-optical-dept-5ce193af,Hotspot analysis and comparison between satellite-derived aerosol optical depth and ground-based particulate matter measurements in metro manila,2023,"BAB Recto, RAB Torres, RV Ramos, AM Tamondong, MG Cayetano, ...","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-x-4-w1-2022-639-2023,https://doi.org/10.5194/isprs-annals-x-4-w1-2022-639-2023,ayin-m-tamondong,water-air-environmental-quality,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,268,READY - supported title and year
influence-of-the-el-ni-o-southern-oscillation-to-the-interannual-sea-level-var-17908acf,Influence of the El Niño Southern Oscillation to the interannual sea-level variability in the Philippine Sea,2023,"PCM Flores, RB Reyes, CL Amedo-Repollo, FP Siringan, A Rediang, ...","Coastal Altimetry, 177-190",other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,127,READY - supported title and year
manila-bay-watershed-scorecard-a-gis-based-quantitative-watershed-health-asses-cb1f50ce,Manila Bay Watershed Scorecard: a Gis-Based Quantitative Watershed Health Assessment,2023,"M Zamora, AC Blanco","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,123,READY - supported title and year
mapping-multi-decadal-mangrove-forest-change-in-the-philippines-vegetation-ext-28e993ca,Mapping multi-decadal mangrove forest change in the Philippines: vegetation extent and impacts of anthropogenic and climate-related factors,2023,"AB Baloloy, KP Martinez, AC Blanco, MEP Neri, K Di V. Ticman, ...",Climate change strategies: handling the challenges of adapting to a changing …,other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,38,READY - supported title and year
modeling-flow-and-sediment-dynamics-in-an-estuarine-mangrove-forest-and-adjace-393804c6,Modeling flow and sediment dynamics in an estuarine mangrove forest and adjacent areas: the impact of mangrove forest dynamics on landscape evolution,2023,"M Yoshikai, T Nakamura, A Blanco, B Hernandez, E Herrera, C Ferrera, ...","EGU General Assembly Conference Abstracts, EGU-13835",other,,,ariel-c-blanco,coastal-marine-systems|ecosystems-biodiversity-land-change,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,176,READY - supported title and year
philippines-case-study-two-looking-into-the-management-strategies-of-three-phi-a30e53a6,Philippines Case Study Two: Looking into the Management Strategies of Three Philippine National Integrated Protected Area System (NIPAS) Sites,2023,"KSA Cordero-Bailey, LT David, TLP dela Cruz, AT Almo, S Martinez, ...",Challenges in Tropical Coastal Zone Management: Experiences and Lessons …,other,,,ariel-c-blanco,,,internal,source-supported,Supplied Google Scholar profile copy,,178,READY - supported title and year
rise-or-fall-how-local-factors-influence-coastal-sea-level-in-the-philippines-676317b8,Rise or fall? How local factors influence coastal sea level in the Philippines,2023,"RB Reyes, PC Flores, A Bauzon, A Rediang, RM Alfante, NA Pasaje, ...","PHILIPPINE ENGINEERING JOURNAL 44 (1), 1-24",other,,,ariel-c-blanco,coastal-marine-systems,,internal,source-supported,Supplied Google Scholar profile copy,,145,READY - supported title and year
small-satellites-for-disaster-and-environmental-monitoring-2023-2420f68b,Small Satellites for Disaster and Environmental Monitoring,2023,"M Nagai, AC Blanco, V Lagutov, S Ninsawat",Remote Sensing,other,,,ariel-c-blanco,climate-hazards-resilience,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,179,READY - supported title and year
spatio-temporal-analysis-and-modelling-of-dengue-incidences-in-quezon-city-usi-264d72f1,Spatio-temporal analysis and modelling of dengue incidences in Quezon City using ordinary least squares and spatial regression,2023,"AC Blanco, BJJ Harder, IAR Teh","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,urban-sustainable-systems,environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,126,READY - supported title and year
spatio-temporal-analysis-of-decadal-mangrove-cover-and-fragmentation-in-region-45f741ed,"Spatio-temporal analysis of decadal mangrove cover and fragmentation in Region IV-B MIMAROPA, Philippines",2023,"CDC Zablan, AA Nerves, AC Blanco, AB Baloloy, KP Martinez, MEP Neri","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,coastal-marine-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,125,READY - supported title and year
spatio-temporal-characterization-of-manila-bay-using-optical-water-type-and-wa-cce5a946,Spatio-temporal characterization of Manila Bay using optical water type and water quality mapping using Sentinel-3 OLCI images,2023,"JM Medina, RL Jalbuena, RAB Torres, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,water-air-environmental-quality,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"105,327",READY - supported title and year
spatiotemporal-analysis-of-satellite-based-trace-gases-concentrations-in-port-3b607d03,"SPATIOTEMPORAL ANALYSIS OF SATELLITE-BASED TRACE GASES CONCENTRATIONS IN PORT OF MANILA, PHILIPPINES",2023,"LJ Aporto, MA Latunio, R Ramos, A Tamondong",,other,,,ayin-m-tamondong,water-air-environmental-quality,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,301,READY - supported title and year
surface-urban-heat-islands-and-related-health-risk-in-the-philippines-a-geospa-d01697ed,Surface urban heat islands and related health risk in the Philippines: A geospatial assessment using MODIS data,2023,"D Vergara, AC Blanco","The International archives of the photogrammetry, remote sensing and spatial …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,54,READY - supported title and year
temporal-variation-of-threshold-segmentation-based-mangrove-mapping-indices-in-fd73d17c,Temporal variation of threshold segmentation-based mangrove mapping indices in Karimunjawa-Kemujan islands with Sentinel images,2023,"CDC Zablan, AC Blanco, K Nadaoka",IGARSS 2023-2023 IEEE International Geoscience and Remote Sensing Symposium …,other,,,ariel-c-blanco,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,124,READY - supported title and year
transformation-of-the-normalized-difference-chlorophyll-index-to-retrieve-chlo-e4d62fce,Transformation of the normalized difference chlorophyll index to retrieve chlorophyll-a concentrations in Manila Bay,2023,"A Manuel, AC Blanco","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,water-air-environmental-quality,,internal,source-supported,Supplied Google Scholar profile copy,,60,READY - supported title and year
3d-reconstruction-of-the-fort-santiago-dungeons-using-handheld-laser-scanning-b94ea892,3d reconstruction of the fort santiago dungeons using handheld laser scanning method,2024,"PL Borrega, YA Felisilda, CJ Sarmiento, A Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlviii-4-w8-2023-69-2024,https://doi.org/10.5194/isprs-archives-xlviii-4-w8-2023-69-2024,ayin-m-tamondong,urban-sustainable-systems,lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,266,READY - supported title and year
advancing-blue-carbon-knowledge-leveraging-geomatics-for-capacity-building-thr-17c5b09d,Advancing blue carbon knowledge: Leveraging geomatics for capacity building through the bluecares project,2024,"K Martinez, A Blanco, A Tamondong, C Candido, K Nadaoka","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlviii-5-2024-55-2024,https://doi.org/10.5194/isprs-archives-xlviii-5-2024-55-2024,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems|urban-sustainable-systems,,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"90,252",READY - supported title and year
assessment-of-the-vulnerability-of-coastal-agriculture-to-seawater-intrusion-u-ded93b1e,"Assessment of the vulnerability of coastal agriculture to seawater intrusion using remote sensing, GIS, and Multi-Criteria Decision Analysis",2024,"N Gatdula, A Blanco","International Journal of Digital Earth 17 (1), 2367733",other,,,ariel-c-blanco,climate-hazards-resilience|coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,40,READY - supported title and year
comparative-analysis-of-prisma-hyperspectral-and-sentinel-2-multispectral-imag-f1c4b81a,Comparative analysis of Prisma hyperspectral and Sentinel-2 multispectral images for Chlorophyll-a and turbidity mapping of Taal lake,2024,"AM Hernando, AM Piano, AC Blanco, JM Medina, AY Manuel","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco|jommer-m-medina,water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"101,325",READY - supported title and year
comparative-analysis-of-random-forest-and-support-vector-machine-for-benthic-h-1be9c999,Comparative analysis of random forest and support vector machine for benthic habitat segmentation,2024,"GAM Narciso, AM Tamondong, AC Blanco, T Nakamura, K Nadaoka",Eighth Geoinformation Science Symposium 2023: Geoinformation Science for …,other,10.1117/12.3009659,https://doi.org/10.1117/12.3009659,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems|ecosystems-biodiversity-land-change,geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"174,288",READY - supported title and year
coral-bleaching-detection-using-prisma-hyperspectral-satellite-imagery-in-cala-b9d733b5,"Coral Bleaching Detection Using PRISMA Hyperspectral Satellite Imagery in Calatagan, Batangas",2024,"FD Rivera, GE Buenavista, A Tamondong, A Blanco","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-x-5-2024-165-2024,https://doi.org/10.5194/isprs-annals-x-5-2024-165-2024,ariel-c-blanco|ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"79,249",READY - supported title and year
development-of-land-use-regression-models-for-particulate-matter-estimation-in-9782bd51,"Development of land-use regression models for particulate matter estimation in National Capital Region, Philippines",2024,"RAB Torres, RV Ramos, BAB Recto, AM Tamondong","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,10.5194/isprs-archives-xlviii-4-w8-2023-437-2024,https://doi.org/10.5194/isprs-archives-xlviii-4-w8-2023-437-2024,ayin-m-tamondong,water-air-environmental-quality,environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,273,READY - supported title and year
development-of-methodology-for-monitoring-and-assessing-the-national-greening-7d111326,Development of methodology for monitoring and assessing the national greening program using optical and SAR data,2024,"RR Diwa, NJB Borlongan, JIA Tabardillo, AJC Sabuito, CG Candido, ...","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,ariel-c-blanco,,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,71,READY - supported title and year
